,Country,AQI
0, Bangladesh , 77.10 
1, Pakistan , 59.00 
2, India , 51.90 
3, Mongolia , 46.60 
4, Afghanistan , 46.50 
5, Oman , 44.40 
6, Qatar , 44.30 
7, Kyrgyzstan , 43.50 
8, Indonesia , 40.70 
9, Bosnia Herzegovina , 40.60 
10, Bahrain , 39.70 
11, Nepal , 39.20 
12, Mali , 37.90 
13, China , 34.70 
14, Kuwait , 34.00 
15, Tajikistan , 30.90 
16, North Macedonia , 30.60 
17, Uzbekistan , 29.90 
18, Myanmar , 29.40 
19, United Arab Emirates , 29.20 
20, Vietnam , 28.00 
21, Bulgaria , 27.50 
22, Iran , 27.20 
23, Ghana , 26.90 
24, Montenegro , 26.10 
25, Uganda , 26.10 
26, Armenia , 24.90 
27, Serbia , 24.30 
28, Saudi Arabia , 23.30 
29, Laos , 22.40 
30, Sri Lanka , 22.40 
31, Ivory Coast , 21.90 
32, Kazakhstan , 21.90 
33, Thailand , 21.40 
34, Croatia , 21.20 
35, Cambodia , 21.10 
36, Georgia , 20.40 
37, Algeria , 20.20 
38, Madagascar , 20.00 
39, Kosovo , 20.00 
40, South Korea , 19.50 
41, Chile , 19.30 
42, Guatemala , 19.20 
43, Ukraine , 19.20 
44, Mexico , 18.90 
45, Turkey , 18.70 
46, Italy , 18.50 
47, Greece , 18.40 
48, South Africa , 18.00 
49, Peru , 17.90 
50, Macao SAR , 17.80 
51, Turkmenistan , 17.00 
52, Poland , 16.90 
53, Israel , 16.90 
54, Albania , 16.00 
55, Cyprus , 15.80 
56, Romania , 15.80 
57, Malaysia , 15.60 
58, Colombia , 15.60 
59, Hong Kong SAR , 15.40 
60, Slovakia , 15.30 
61, Taiwan , 15.00 
62, Jordan , 14.90 
63, Ethiopia , 14.70 
64, Hungary , 14.30 
65, Argentina , 14.20 
66, Kenya , 14.20 
67, Brazil , 14.20 
68, Angola , 13.00 
69, Philippines , 12.80 
70, Czech Republic , 12.30 
71, Malta , 11.80 
72, Singapore , 11.80 
73, Lithuania , 11.70 
74, Latvia , 11.30 
75, Senegal , 11.20 
76, France , 11.10 
77, Austria , 10.90 
78, Curacao , 10.50 
79, Spain , 10.40 
80, Germany , 10.10 
81, Japan , 9.80 
82, Netherlands , 9.70 
83, USA , 9.60 
84, Denmark , 9.40 
85, Russia , 9.30 
86, Portugal , 9.10 
87, Luxembourg , 9.00 
88, Switzerland , 9.00 
89, Belgium , 8.90 
90, Ireland , 8.60 
91, United Kingdom , 8.30 
92, Costa Rica , 8.20 
93, Ecuador , 7.60 
94, Australia , 7.60 
95, Andorra , 7.40 
96, Canada , 7.30 
97, Iceland , 7.20 
98, New Zealand , 7.00 
99, Estonia , 5.90 
100, Norway , 5.70 
101, Finland , 5.00 
102, Sweden , 5.00 
103, U.S. Virgin Islands , 3.70 
104, New Caledonia , 3.70 
105, Puerto Rico , 3.70 
